date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:48:20	37539/37539	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:20%20GMT	http://factory.w3itexperts.com/xhtml/footer-8.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/footer-8.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:21	37736/37736	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:21%20GMT	http://factory.w3itexperts.com/xhtml/footer-9.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/footer-9.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:22	39662/39662	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:21%20GMT	http://factory.w3itexperts.com/xhtml/footer-10.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/footer-10.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:22	45014/45014	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:22%20GMT	http://factory.w3itexperts.com/xhtml/about-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/about-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:23	44280/44280	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:22%20GMT	http://factory.w3itexperts.com/xhtml/about-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/about-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:23	39338/39338	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:23%20GMT	http://factory.w3itexperts.com/xhtml/faq-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/faq-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:24	36037/36037	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:23%20GMT	http://factory.w3itexperts.com/xhtml/faq-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/faq-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:24	36452/36452	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:24%20GMT	http://factory.w3itexperts.com/xhtml/services-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/services-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:25	36506/36506	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:24%20GMT	http://factory.w3itexperts.com/xhtml/services-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/services-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:25	37929/37929	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:25%20GMT	http://factory.w3itexperts.com/xhtml/services-3.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/services-3.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:26	41473/41473	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:26%20GMT	http://factory.w3itexperts.com/xhtml/portfolio-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/portfolio-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:27	42389/42389	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:26%20GMT	http://factory.w3itexperts.com/xhtml/portfolio-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/portfolio-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:27	45193/45193	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:27%20GMT	http://factory.w3itexperts.com/xhtml/portfolio-3.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/portfolio-3.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:28	36359/36359	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:27%20GMT	http://factory.w3itexperts.com/xhtml/portfolio-details.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/portfolio-details.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:28	49923/49923	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:28%20GMT	http://factory.w3itexperts.com/xhtml/full-page-gallery-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/full-page-gallery-dark.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:29	51615/51615	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:28%20GMT	http://factory.w3itexperts.com/xhtml/full-page-gallery-light.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/full-page-gallery-light.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:29	41678/41678	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:29%20GMT	http://factory.w3itexperts.com/xhtml/gallery-grid-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/gallery-grid-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:30	42634/42634	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:29%20GMT	http://factory.w3itexperts.com/xhtml/gallery-grid-3.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/gallery-grid-3.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:30	45526/45526	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:30%20GMT	http://factory.w3itexperts.com/xhtml/gallery-grid-4.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/gallery-grid-4.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:31	32006/32006	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:30%20GMT	http://factory.w3itexperts.com/xhtml/error-403.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/error-403.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:31	32037/32037	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:31%20GMT	http://factory.w3itexperts.com/xhtml/error-404.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/error-404.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:32	32037/32037	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:32%20GMT	http://factory.w3itexperts.com/xhtml/error-405.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/error-405.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:32	14175/14175	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:32%20GMT	http://factory.w3itexperts.com/xhtml/coming-soon-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/coming-soon-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:33	14021/14021	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:33%20GMT	http://factory.w3itexperts.com/xhtml/coming-soon-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/coming-soon-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:34	9284/9284	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:33%20GMT	http://factory.w3itexperts.com/xhtml/login-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/login-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:34	9457/9457	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:34%20GMT	http://factory.w3itexperts.com/xhtml/login-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/login-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:35	39303/39303	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:34%20GMT	http://factory.w3itexperts.com/xhtml/career.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/career.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:35	39226/39226	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:35%20GMT	http://factory.w3itexperts.com/xhtml/who-we-are.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/who-we-are.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:36	41116/41116	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:35%20GMT	http://factory.w3itexperts.com/xhtml/help.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/help.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:36	38356/38356	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:36%20GMT	http://factory.w3itexperts.com/xhtml/privacy-policy.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/privacy-policy.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:37	41448/41448	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:36%20GMT	http://factory.w3itexperts.com/xhtml/product.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/product.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:37	48036/48036	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:37%20GMT	http://factory.w3itexperts.com/xhtml/product-details.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/product-details.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:38	40086/40086	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:38%20GMT	http://factory.w3itexperts.com/xhtml/blog-half-img.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/blog-half-img.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:39	57795/57795	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:38%20GMT	http://factory.w3itexperts.com/xhtml/blog-half-img-sidebar.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/blog-half-img-sidebar.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:39	57817/57817	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:39%20GMT	http://factory.w3itexperts.com/xhtml/blog-half-img-left-sidebar.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/blog-half-img-left-sidebar.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:40	43962/43962	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:39%20GMT	http://factory.w3itexperts.com/xhtml/blog-large-img.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/blog-large-img.html	(from http://factory.w3itexperts.com/xhtml/)
